Frequency;dB;
271000000;-0.68;
273195000;-0.67;
275390000;-0.68;
277585000;-0.68;
279780000;-0.69;
281975000;-0.69;
284170000;-0.69;
286365000;-0.70;
288560000;-0.70;
290755000;-0.71;
292950000;-0.73;
295145000;-0.72;
297340000;-0.73;
299535000;-0.74;
301730000;-0.75;
303925000;-0.76;
306120000;-0.76;
308315000;-0.75;
310510000;-0.77;
312705000;-0.78;
314900000;-0.79;
317095000;-0.81;
319290000;-0.82;
321485000;-0.83;
323680000;-0.84;
325875000;-0.85;
328070000;-0.85;
330265000;-0.86;
332460000;-0.88;
334655000;-0.89;
336850000;-0.91;
339045000;-0.92;
341240000;-0.94;
343435000;-0.96;
345630000;-1.00;
347825000;-1.02;
350020000;-1.05;
352215000;-1.10;
354410000;-1.11;
356605000;-1.14;
358800000;-1.17;
360995000;-1.20;
363190000;-1.21;
365385000;-1.23;
367580000;-1.26;
369775000;-1.28;
371970000;-1.29;
374165000;-1.30;
376360000;-1.33;
378555000;-1.38;
380750000;-1.42;
382945000;-1.49;
385140000;-1.54;
387335000;-1.61;
389530000;-1.68;
391725000;-1.79;
393920000;-1.92;
396115000;-2.09;
398310000;-2.27;
400505000;-2.48;
402700000;-2.76;
404895000;-3.11;
407090000;-3.41;
409285000;-3.73;
411480000;-3.88;
413675000;-3.91;
415870000;-3.76;
418065000;-3.55;
420260000;-3.37;
422455000;-3.29;
424650000;-3.21;
426845000;-3.20;
429040000;-3.18;
431235000;-3.21;
433430000;-3.21;
435625000;-3.29;
437820000;-3.37;
440015000;-3.50;
442210000;-3.64;
444405000;-3.76;
446600000;-3.86;
448795000;-3.93;
450990000;-4.08;
453185000;-4.28;
455380000;-4.48;
457575000;-4.70;
459770000;-4.98;
461965000;-5.29;
464160000;-5.63;
466355000;-5.98;
468550000;-6.21;
470745000;-6.31;
472940000;-6.27;
475135000;-6.25;
477330000;-6.13;
479525000;-6.03;
481720000;-6.13;
483915000;-6.41;
486110000;-6.80;
488305000;-7.43;
490500000;-8.29;
492695000;-9.30;
494890000;-10.48;
497085000;-11.90;
499280000;-13.62;
501475000;-15.65;
503670000;-17.63;
505865000;-19.89;
508060000;-21.72;
510255000;-24.14;
512450000;-26.87;
514645000;-27.94;
516840000;-24.62;
519035000;-20.39;
521230000;-17.26;
523425000;-14.83;
525620000;-12.98;
527815000;-11.47;
530010000;-10.18;
532205000;-9.15;
534400000;-8.24;
536595000;-7.40;
538790000;-6.70;
540985000;-6.12;
543180000;-5.61;
545375000;-5.18;
547570000;-4.76;
549765000;-4.42;
551960000;-4.14;
554155000;-3.87;
556350000;-3.63;
558545000;-3.44;
560740000;-3.26;
562935000;-3.09;
565130000;-2.95;
567325000;-2.83;
569520000;-2.74;
571715000;-2.63;
573910000;-2.56;
576105000;-2.48;
578300000;-2.42;
580495000;-2.37;
582690000;-2.32;
584885000;-2.27;
587080000;-2.23;
589275000;-2.20;
591470000;-2.18;
593665000;-2.15;
595860000;-2.15;
598055000;-2.14;
600250000;-2.11;
602445000;-2.12;
604640000;-2.12;
606835000;-2.11;
609030000;-2.12;
611225000;-2.12;
613420000;-2.11;
615615000;-2.12;
617810000;-2.09;
620005000;-2.09;
622200000;-2.09;
624395000;-2.09;
626590000;-2.11;
628785000;-2.10;
630980000;-2.11;
633175000;-2.11;
635370000;-2.14;
637565000;-2.16;
639760000;-2.17;
641955000;-2.19;
644150000;-2.22;
646345000;-2.24;
648540000;-2.26;
650735000;-2.27;
652930000;-2.27;
655125000;-2.28;
657320000;-2.27;
659515000;-2.28;
661710000;-2.27;
663905000;-2.27;
666100000;-2.26;
668295000;-2.27;
670490000;-2.27;
672685000;-2.28;
674880000;-2.29;
677075000;-2.30;
679270000;-2.32;
681465000;-2.33;
683660000;-2.34;
685855000;-2.37;
688050000;-2.40;
690245000;-2.43;
692440000;-2.46;
694635000;-2.49;
696830000;-2.53;
699025000;-2.55;
701220000;-2.59;
703415000;-2.63;
705610000;-2.66;
707805000;-2.74;
710000000;-2.78;
