Frequency;dB
271000000;-0.69
273195000;-0.69
275390000;-0.68
277585000;-0.70
279780000;-0.72
281975000;-0.71
284170000;-0.72
286365000;-0.73
288560000;-0.72
290755000;-0.74
292950000;-0.74
295145000;-0.74
297340000;-0.75
299535000;-0.77
301730000;-0.78
303925000;-0.77
306120000;-0.78
308315000;-0.79
310510000;-0.81
312705000;-0.81
314900000;-0.83
317095000;-0.84
319290000;-0.87
321485000;-0.86
323680000;-0.87
325875000;-0.88
328070000;-0.90
330265000;-0.91
332460000;-0.92
334655000;-0.93
336850000;-0.93
339045000;-0.97
341240000;-1.01
343435000;-1.01
345630000;-1.04
347825000;-1.08
350020000;-1.10
352215000;-1.13
354410000;-1.16
356605000;-1.21
358800000;-1.23
360995000;-1.27
363190000;-1.29
365385000;-1.32
367580000;-1.34
369775000;-1.36
371970000;-1.39
374165000;-1.41
376360000;-1.44
378555000;-1.48
380750000;-1.54
382945000;-1.60
385140000;-1.68
387335000;-1.75
389530000;-1.84
391725000;-1.96
393920000;-2.10
396115000;-2.29
398310000;-2.52
400505000;-2.75
402700000;-3.07
404895000;-3.42
407090000;-3.81
409285000;-4.18
411480000;-4.38
413675000;-4.43
415870000;-4.28
418065000;-4.08
420260000;-3.88
422455000;-3.76
424650000;-3.66
426845000;-3.61
429040000;-3.60
431235000;-3.62
433430000;-3.61
435625000;-3.66
437820000;-3.75
440015000;-3.90
442210000;-4.06
444405000;-4.20
446600000;-4.27
448795000;-4.34
450990000;-4.45
453185000;-4.61
455380000;-4.85
457575000;-5.10
459770000;-5.38
461965000;-5.60
464160000;-5.87
466355000;-6.17
468550000;-6.43
470745000;-6.55
472940000;-6.53
475135000;-6.38
477330000;-6.18
479525000;-6.11
481720000;-6.16
483915000;-6.39
486110000;-6.78
488305000;-7.40
490500000;-8.22
492695000;-9.11
494890000;-10.12
497085000;-11.46
499280000;-12.88
501475000;-14.58
503670000;-16.27
505865000;-18.12
508060000;-20.48
510255000;-23.22
512450000;-26.71
514645000;-29.28
516840000;-25.83
519035000;-21.49
521230000;-18.14
523425000;-15.66
525620000;-13.83
527815000;-12.20
530010000;-10.88
532205000;-9.76
534400000;-8.80
536595000;-7.87
538790000;-7.14
540985000;-6.51
543180000;-5.94
545375000;-5.46
547570000;-5.01
549765000;-4.62
551960000;-4.31
554155000;-4.02
556350000;-3.76
558545000;-3.57
560740000;-3.38
562935000;-3.17
565130000;-3.00
567325000;-2.88
569520000;-2.74
571715000;-2.64
573910000;-2.55
576105000;-2.45
578300000;-2.39
580495000;-2.34
582690000;-2.26
584885000;-2.23
587080000;-2.18
589275000;-2.13
591470000;-2.13
593665000;-2.09
595860000;-2.07
598055000;-2.05
600250000;-2.04
602445000;-2.04
604640000;-2.04
606835000;-2.04
609030000;-2.03
611225000;-2.02
613420000;-2.04
615615000;-2.00
617810000;-2.00
620005000;-2.00
622200000;-2.00
624395000;-1.98
626590000;-2.00
628785000;-2.01
630980000;-2.03
633175000;-2.03
635370000;-2.06
637565000;-2.07
639760000;-2.09
641955000;-2.12
644150000;-2.13
646345000;-2.15
648540000;-2.17
650735000;-2.17
652930000;-2.18
655125000;-2.17
657320000;-2.18
659515000;-2.19
661710000;-2.19
663905000;-2.20
666100000;-2.19
668295000;-2.23
670490000;-2.23
672685000;-2.25
674880000;-2.27
677075000;-2.29
679270000;-2.32
681465000;-2.36
683660000;-2.37
685855000;-2.40
688050000;-2.45
690245000;-2.48
692440000;-2.50
694635000;-2.54
696830000;-2.59
699025000;-2.61
701220000;-2.66
703415000;-2.71
705610000;-2.78
707805000;-2.84
710000000;-2.90
